guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
DNMT3L-1,DNMT3L,145,21,3.63892104360275e-05,0.2982804775238037,0.0,0.5796903371810913,-0.009991160593926907,1.088290709808709e-06,0.9063515804201192,-0.017235340927902576,2.152210430749115e-06,1.0,True,False,False,Stim48hr,24
OR6S1-3,OR6S1,52,10,2.3119933757698163e-05,0.0,0.0,-0.010013808496296406,-0.010013808496296406,0.9068504629321168,0.9068504629321168,,0.9528959851902855,1.0,False,False,False,Stim48hr,24
C20orf144-2,C20orf144,115,16,2.8201091481605545e-05,0.2147875428199768,0.0,0.5678120851516724,-0.010019714012742043,1.7696999547639205e-05,0.9069802552293057,-0.0176461795632011,3.1638405473999304e-05,1.0,True,False,False,Stim48hr,24
GSTA2-2,GSTA2,36,10,2.0255680283298716e-05,0.013615586794912815,0.0,0.23520894348621368,-0.010066024027764797,0.1624424717030069,0.9079932147023105,-0.042796093883882426,0.19180044722517323,1.0,False,False,False,Stim48hr,24
OR1N2-3,OR1N2,52,15,3.2000312785385177e-05,0.0,0.0,-0.010074757970869541,-0.010074757970869541,0.9081833324484208,0.9081833324484208,,0.954002261854145,1.0,False,False,False,Stim48hr,24
CSHL1-3,CSHL1,101,10,1.9542474547051825e-05,0.0,0.0,-0.010091884061694145,-0.010091884061694145,0.9085552958110601,0.9085552958110601,,0.9541972985737647,1.0,False,False,False,Stim48hr,24
G6PC-2,G6PC1,75,10,2.754332308541052e-05,0.3748016655445099,0.0,0.6973932385444641,-0.010132543742656708,2.85624736138282e-05,0.9094338962829689,-0.014529168312277352,5.037775132576723e-05,1.0,True,False,False,Stim48hr,24
FOXD4L6-1,FOXD4L6,128,13,8.936458470998332e-05,0.07415908575057983,0.0,0.3706967532634735,-0.010166963562369347,0.0017893598796846796,0.910172764681381,-0.02742663234264465,0.002696411092599273,1.0,True,False,False,Stim48hr,24
CYP2C9-4,CYP2C9,96,10,2.2870723114465363e-05,0.028782157227396965,0.0,0.19662554562091827,-0.010219689458608627,0.08814321629864241,0.9112958765742183,-0.051975390208511094,0.1089190721065492,1.0,False,False,False,Stim48hr,24
CSNK1A1L-3,CSNK1A1L,18,10,3.954503335990012e-05,0.0,0.0,-0.010225546546280384,-0.010225546546280384,0.9114199893232663,0.9114199893232663,,0.95661745600692,1.0,False,False,False,Stim48hr,24
