guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
MCM4-4,MCM4,91,11,0.6691509485244751,0.7371720671653748,0.43134376406669617,0.0868675708770752,-0.3561714291572571,0.2080950926609127,0.9114357020639389,-4.100165637891143,0.2469529381547633,1.0,False,False,False,Rest,24
C19orf40-2,FAAP24,54,14,0.08251861482858658,0.08277348428964615,0.02234443463385105,0.001060382230207324,-0.3570564389228821,0.497100902814015,0.9907535813992356,-336.7242761632011,0.5518654618110692,1.0,False,False,False,Rest,24
GOLGA3-4,GOLGA3,165,16,0.3257681429386139,0.3951508104801178,0.18663136661052704,0.16019652783870697,-0.35886669158935547,0.0265579919082778,0.9253065388113282,-2.240165229740051,0.03704521981043253,1.0,True,False,False,Rest,24
INTS6-4,INTS6,77,12,0.47189098596572876,0.6707264184951782,0.31007346510887146,0.38244327902793884,-0.3589179515838623,0.0012396450100785415,0.8955948777600602,-0.9384867541564041,0.0020075153781816775,1.0,True,False,False,Rest,24
PAK4-3,PAK4,70,10,0.03860193490982056,0.09561891853809357,0.0,0.2776764929294586,-0.36148983240127563,0.02932452243745448,1.0,-1.3018380799454605,0.04068241738435163,1.0,True,False,False,Rest,24
ZASP-2,SAP25,51,12,0.04277694597840309,0.036198850721120834,0.0,-0.04366243630647659,-0.36196282505989075,0.638001851355027,1.0,,0.6967231202865715,1.0,False,False,False,Rest,24
FAM188A-4,MINDY3,39,10,0.19305923581123352,0.25401365756988525,0.091438427567482,0.17868489027023315,-0.3632577061653137,0.13917581097752638,0.9211317253253666,-2.032951446627316,0.17246781377189782,1.0,False,False,False,Rest,24
ZFP91-1,ZFP91,49,12,0.6852244138717651,0.6915318965911865,0.4973686933517456,0.011196108534932137,-0.3637320101261139,0.4709132798610296,0.8856281295114833,-32.487360138682206,0.5253696022714993,1.0,False,False,False,Rest,24
ZNF784-2,ZNF784,18,10,0.043663833290338516,0.022222500294446945,0.0,-0.15651308000087738,-0.36484506726264954,0.8257651642334781,1.0,,0.885823549309883,1.0,False,False,False,Rest,24
GOLGA3-2,GOLGA3,70,13,0.3257681429386139,0.4833946228027344,0.18353202939033508,0.3536510765552521,-0.3662405014038086,0.003866466639973034,0.9058660869518756,-1.0355984349635923,0.005944136932142452,1.0,True,False,False,Rest,24
NKRF-3,NKRF,35,10,0.17033706605434418,0.10556525737047195,0.0699744001030922,-0.21050140261650085,-0.36678072810173035,0.8965888247364483,0.9073076367840456,,0.9427238223287473,1.0,False,False,False,Rest,24
TMEM79-4,TMEM79,88,25,0.043597787618637085,0.19063252210617065,0.0,0.5428414940834045,-0.36928480863571167,6.631326860982149e-05,1.0,-0.6802810998434344,0.00012093386605788642,1.0,True,False,False,Rest,24
COPE-1,COPE,55,12,0.6513268947601318,0.6952144503593445,0.45879659056663513,0.08302466571331024,-0.3692997694015503,0.27931985757009514,0.8792291147456898,-4.448072945897395,0.32332756919748423,1.0,False,False,False,Rest,24
PPM1D-4,PPM1D,63,10,0.17651623487472534,0.26190993189811707,0.08174411207437515,0.2153167426586151,-0.3693355321884155,0.07369702795551947,0.9401356254189014,-1.7153126488356614,0.09601660604787073,1.0,False,False,False,Rest,24
ATP10D-3,ATP10D,161,11,0.04542216658592224,0.11278249323368073,0.0,0.3085821568965912,-0.3696059286594391,0.000509327234737568,1.0,-1.1977553478028788,0.0008578679955439575,1.0,True,False,False,Rest,24
ARMCX5-2,ARMCX5,41,10,0.04680899530649185,0.05096010863780975,0.0,0.023860350251197815,-0.36991193890571594,0.43788979089841795,1.0,-15.503206575399956,0.491134251846234,1.0,False,False,False,Rest,24
TSPYL5-1,TSPYL5,16,10,0.046810444444417953,0.07750704884529114,0.0,0.15520891547203064,-0.3715355396270752,0.2887439354525732,1.0,-2.3937770488063723,0.3329919772953936,1.0,False,False,False,Rest,24
HEXIM2-2,HEXIM2,62,10,0.04746644198894501,0.044138260185718536,0.0,-0.02041756547987461,-0.37259963154792786,0.5719001641361632,1.0,,0.6297964943752471,1.0,False,False,False,Rest,24
HIST1H2BH-3,H2BC9,64,12,1.1015386581420898,1.5055396556854248,0.6550430059432983,0.3029114902019501,-0.37371909618377686,0.013735143524931001,0.8953356035223573,-1.233756751632695,0.019870039243908292,1.0,True,False,False,Rest,24
PUS10-4,PUS10,46,10,0.0465935543179512,0.11029540002346039,0.0,0.26032450795173645,-0.37394028902053833,0.07695130717576402,1.0,-1.436439050486426,0.09999082418400779,1.0,False,False,False,Rest,24
EPN1-3,EPN1,82,12,0.23288437724113464,0.2426798939704895,0.11537738889455795,0.027590397745370865,-0.3746252655982971,0.4025078147817086,0.9203474888732728,-13.578103116007162,0.4539590820219155,1.0,False,False,False,Rest,24
ECD-3,ECD,45,10,0.24205662310123444,0.3932105302810669,0.12279045581817627,0.3798261284828186,-0.37473264336586,0.011614854856369138,0.9037846073797868,-0.9865899559429887,0.01694852983628375,1.0,True,False,False,Rest,24
ZNF678-1,ZNF678,56,11,0.043160341680049896,0.0322878360748291,0.0,-0.07133252173662186,-0.37480494379997253,0.7163780295263293,1.0,,0.7756917578219776,1.0,False,False,False,Rest,24
CEP290-3,CEP290,64,11,0.04586305096745491,0.09155120700597763,0.0,0.21136239171028137,-0.3758432865142822,0.07629037753042864,1.0,-1.778193762253874,0.09919771802177917,1.0,False,False,False,Rest,24
LMNB1-4,LMNB1,95,12,0.7125716209411621,0.8641983270645142,0.4494358003139496,0.22033444046974182,-0.3760990798473358,0.020002279130618732,0.8808204378170401,-1.7069463995075473,0.028282895887479877,1.0,True,False,False,Rest,24
ZNF780B-3,ZNF780B,34,10,0.046523772180080414,0.12649628520011902,0.0,0.2644830048084259,-0.3761541545391083,0.12031470107318601,1.0,-1.4222242930564466,0.15074558565375765,1.0,False,False,False,Rest,24
TTC22-4,TTC22,90,11,0.048453669995069504,0.9026543498039246,0.0,1.5410301685333252,-0.3769178092479706,8.18673785656915e-18,1.0,-0.24458820920209626,4.052056542128633e-17,1.0,True,False,False,Rest,24
MAN1B1-4,MAN1B1,84,10,0.2615756392478943,0.2457074373960495,0.13379725813865662,-0.04296467453241348,-0.378371924161911,0.6590141877355629,0.9064835209625369,,0.7179375221813749,1.0,False,False,False,Rest,24
EXOSC3-4,EXOSC3,132,10,0.3360554277896881,0.86785888671875,0.1959610879421234,0.8771472573280334,-0.3795963227748871,1.3672531784104267e-13,0.9018269570370072,-0.43276236641406557,4.91226187725602e-13,1.0,True,False,False,Rest,24
COX17-2,COX17,56,13,0.5069475769996643,0.5487954020500183,0.33339160680770874,0.09098707884550095,-0.3809899389743805,0.23850311958098008,0.9154114905741534,-4.187297183387038,0.2801578560347441,1.0,False,False,False,Rest,24
RBM4B-1,RBM4B,66,10,0.06600307673215866,0.13149642944335938,0.01111629419028759,0.252107709646225,-0.38146981596946716,0.04442051817772573,0.9996060548167676,-1.5131223733886285,0.05995751134768714,1.0,False,False,False,Rest,24
THRAP3-1,THRAP3,76,11,0.5267719626426697,0.4899396002292633,0.35547271370887756,-0.0824788361787796,-0.3817184865474701,0.7818586862861241,0.8997619391458538,,0.8419466365587996,1.0,False,False,False,Rest,24
MAP2K4-1,MAP2K4,23,10,0.393290638923645,0.4882163107395172,0.24054880440235138,0.18264856934547424,-0.38183853030204773,0.21800892336872807,0.9112812755074915,-2.090564036008471,0.2581453750553249,1.0,False,False,False,Rest,24
B3GNT2-3,B3GNT2,130,11,0.3937596380710602,0.5057933330535889,0.2249017357826233,0.23120130598545074,-0.38258758187294006,0.008283741377576793,0.8826151583605503,-1.6547812316294437,0.012285740425161147,1.0,True,False,False,Rest,24
ETS2-1,ETS2,11,19,0.16721338033676147,1.2003611326217651,0.06818049401044846,1.245849609375,-0.3838362693786621,0.006233903095518633,0.9901203630666581,-0.3080919771457966,0.009363583388751187,1.0,True,False,False,Rest,24
RCC1-4,RCC1,48,10,0.3879259526729584,0.4782937467098236,0.2266886979341507,0.17748595774173737,-0.3845415413379669,0.13170359667269205,0.8977973091325038,-2.1666026215860943,0.16403717807805138,1.0,False,False,False,Rest,24
LRIF1-3,LRIF1,71,13,0.3645426630973816,0.40011507272720337,0.20155206322669983,0.0776229053735733,-0.38581570982933044,0.26207907409134756,0.9188194204727116,-4.970384810675759,0.30523161508560864,1.0,False,False,False,Rest,24
SFSWAP-2,SFSWAP,50,11,0.12205298244953156,0.10000968724489212,0.04031935706734657,-0.08200792223215103,-0.38652628660202026,0.7166115614054958,0.9648946317334146,,0.7758018835304162,1.0,False,False,False,Rest,24
ZNF117-2,ZNF117,36,10,0.05169977620244026,0.061928536742925644,0.0,0.04998326301574707,-0.3870142102241516,0.39062668207106566,1.0,-7.7428760523742515,0.44098178093002516,1.0,False,False,False,Rest,24
FUK-1,FCSK,42,10,0.04896599054336548,0.15629298985004425,0.0,0.3750278651714325,-0.38802891969680786,0.03127192819650559,1.0,-1.0346669027365003,0.04326170602643051,1.0,True,False,False,Rest,24
RUNX1-2,RUNX1,28,11,0.26149803400039673,0.2783394157886505,0.13261060416698456,0.03991793096065521,-0.38854920864105225,0.4200993250461785,0.9500643973686395,-9.73370110349714,0.4724411480788764,1.0,False,False,False,Rest,24
